,current_complaint_category,days_open,incident_location,cr_id
49861,ILLEGAL ARREST / FALSE ARREST,144,STREET,1086761
49865,"RACIAL / ETHNIC, ETC.",99,STREET,1086809
49868,IMPROPER DETENTION,83,STREET,1086890
49874,COERCION - VIOLENCE,117,OTHER,1086941
49878,TRAFFIC PURSUIT,90,GAS STATION,1086838
49882,ILLEGAL ARREST / FALSE ARREST,37,STREET,1087068
49885,ILLEGAL ARREST / FALSE ARREST,83,STREET,1087002
49887,COERCION - VIOLENCE,117,OTHER,1086941
49891,ILLEGAL ARREST / FALSE ARREST,32,GROCERY FOOD STORE,1086830
49892,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,36,JAIL / LOCK-UP FACILITY,1086987
49893,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,36,JAIL / LOCK-UP FACILITY,1086987
49894,IMPROPER DETENTION,56,OTHER COMMERCIAL TRANSPORTATION,1087114
49895,OPEN HAND STRIKE (SLAP),108,POLICE FACILITY/VEH PARKING LOT,1087120
49898,WEAPON / AMMUNITION,102,SIDEWALK,1087139
49899,"RACIAL / ETHNIC, ETC.",99,STREET,1086809
49900,OPEN HAND STRIKE (SLAP),108,POLICE FACILITY/VEH PARKING LOT,1087120
49901,EXCESSIVE FORCE / ON DUTY - INJURY,90,STREET,1086938
49902,IMPROPER DETENTION,38,STREET,1086929
49905,ILLEGAL ARREST / FALSE ARREST,83,STREET,1087002
49906,ILLEGAL ARREST / FALSE ARREST,155,RESIDENCE,1087011
49909,TRAFFIC PURSUIT,90,GAS STATION,1086838
49910,ILLEGAL ARREST / FALSE ARREST,32,GROCERY FOOD STORE,1086830
49911,ILLEGAL ARREST / FALSE ARREST,144,STREET,1086761
49912,EXCESSIVE FORCE / ON DUTY - INJURY,90,STREET,1086938
49918,IMPROPER DETENTION,83,STREET,1086890
49923,CIVIL SUITS - THIRD PARTY ,61,HIGHWAY/EXPRESSWAY,1087178
49924,WEAPON / AMMUNITION,102,SIDEWALK,1087139
49925,ILLEGAL ARREST / FALSE ARREST,117,STREET,1087180
49926,IMPROPER DETENTION,38,STREET,1086929
49935,ILLEGAL ARREST / FALSE ARREST,155,RESIDENCE,1087011
49937,ILLEGAL ARREST / FALSE ARREST,155,RESIDENCE,1087011
49941,IMPROPER SEARCH OF VEHICLE ,128,STREET,1087234
49942,STREET,94,STREET,1087237
49944,CIVIL SUITS - THIRD PARTY ,61,HIGHWAY/EXPRESSWAY,1087178
49946,MISCELLANEOUS,113,RESIDENTIAL YARD (FRONT/BACK),1087317
49952,ILLEGAL ARREST / FALSE ARREST,117,STREET,1087180
49953,ILLEGAL ARREST / FALSE ARREST,37,STREET,1087068
49954,IMPROPER DETENTION,56,OTHER COMMERCIAL TRANSPORTATION,1087114
49957,IMPROPER SEARCH OF VEHICLE ,128,STREET,1087234
49959,PUSH/PULL/GRAB,34,PARKING LOT/GARAGE(NON.RESID.),1087295
49965,IMPROPER SEARCH OF VEHICLE ,64,STREET,1087904
49967,IMPROPER SEARCH OF VEHICLE ,64,STREET,1087904
49969,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,81,STREET,1087869
49978,ILLEGAL ARREST / FALSE ARREST,76,STREET,1087542
49981,DOMESTIC INCIDENT - NOT PHYSICAL,63,RESTAURANT,1088081
49984,TELEPHONE / ATTORNEY / RELATIVE PRIVILEGES,98,POLICE FACILITY/VEH PARKING LOT,1087550
49985,ILLEGAL ARREST / FALSE ARREST,24,HIGHWAY/EXPRESSWAY,1088115
49987,TELEPHONE / ATTORNEY / RELATIVE PRIVILEGES,98,POLICE FACILITY/VEH PARKING LOT,1087550
49990,HARASSMENT,89,OTHER,1087568
49991,HARASSMENT,89,RESIDENCE,1087568
50002,ILLEGAL ARREST / FALSE ARREST,84,SIDEWALK,1087439
50004,ILLEGAL ARREST / FALSE ARREST,88,RESIDENCE,1087627
50006,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,60,CTA STATION,1087620
50007,IMPROPER SEARCH OF VEHICLE ,52,STREET,1087633
50009,ILLEGAL ARREST / FALSE ARREST,24,HIGHWAY/EXPRESSWAY,1088115
50011,IMPROPER DETENTION,92,STREET,1087637
50020,HARASSMENT,89,RESIDENCE,1087568
50021,HARASSMENT,89,RESIDENCE,1087568
50022,HARASSMENT,89,OTHER,1087568
50023,ILLEGAL ARREST / FALSE ARREST,82,STREET,1087685
50030,ILLEGAL ARREST / FALSE ARREST,32,SIDEWALK,1088381
50033,ILLEGAL ARREST / FALSE ARREST,32,SIDEWALK,1088381
50045,ILLEGAL ARREST / FALSE ARREST,72,STREET,1087850
50058,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,93,RESIDENCE,1087351
50060,STREET,94,STREET,1087237
50069,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,93,RESIDENCE,1087351
